order_id,order_date,store_id,region,sales_channel,product_id,category,subcategory,product_name,unit_price,quantity,discount_rate,revenue,cost,profit,payment_method,customer_id,customer_segment,promo_code,is_return,return_date,inventory
24,2025-07-25,Store-2,North,Online,P109,Home,Decor,Decor 7,135.55,1,0,135.55,119.53,16.02,Wallet,C1169,Corporate,WINTER10,false,,8
25,2025-07-28,Store-1,South,Online,P162,Home,Decor,Decor 6,198.02,2,0,396.04,321.54,74.5,Wallet,C1103,Corporate,NEW20,false,,22
26,2025-07-09,Store-1,South,Retail,P143,Electronics,Phones,Phones 18,94.44,1,0.1,85.0,59.45,25.55,Wallet,C1075,Small Business,,false,,50
27,2025-06-28,Store-1,North,Retail,P105,Home,Kitchen,Kitchen 6,57.74,2,0.1,103.93,88.85,15.08,Wallet,C1066,Corporate,WINTER10,true,2025-07-04,5
28,2025-07-04,Store-1,South,Online,P109,Home,Decor,Decor 9,187.98,1,0.05,178.58,111.63,66.95,Card,C1017,Corporate,,true,2025-07-05,21
29,2025-08-08,Store-2,Central,Online,P167,Electronics,Phones,Phones 8,187.93,2,0.05,357.07,219.64,137.43,Card,C1079,Small Business,VIP5,false,,18
30,2025-07-26,Store-3,South,Online,P144,Home,Kitchen,Kitchen 1,198.93,1,0,198.93,120.46,78.47,Wallet,C1141,Consumer,,true,2025-07-30,28
31,2025-06-12,Store-3,South,Retail,P169,Home,Decor,Decor 13,194.21,3,0,582.63,521.3,61.33,Cash,C1050,Small Business,WINTER10,true,2025-06-18,3
32,2025-09-14,Store-1,North,Online,P155,Home,Kitchen,Kitchen 6,15.8,4,0.15,53.72,43.04,10.68,Cash,C1153,Consumer,VIP5,false,,29
33,2025-06-22,Store-1,Central,Retail,P133,Electronics,Phones,Phones 12,192.55,5,0.05,914.61,615.84,298.77,Cash,C1055,Corporate,WINTER10,false,,21
34,2025-07-17,Store-1,Central,Retail,P183,Sports,Fitness,Fitness 7,53.39,1,0,53.39,36.27,17.12,Card,C1036,Corporate,,false,,25
35,2025-06-01,Store-2,Central,Online,P174,Electronics,Phones,Phones 17,171.38,2,0.15,291.35,208.86,82.49,Cash,C1184,Corporate,WINTER10,false,,46
36,2025-08-17,Store-3,North,Online,P180,Sports,Fitness,Fitness 14,148.1,5,0,740.5,646.43,94.07,Wallet,C1145,Consumer,,false,,5
37,2025-06-02,Store-1,North,Retail,P148,Electronics,Phones,Phones 15,113.91,1,0.15,96.82,77.86,18.96,Cash,C1067,Consumer,NEW20,false,,47
38,2025-09-26,Store-3,South,Online,P108,Sports,Fitness,Fitness 16,54.18,1,0.05,51.47,34.51,16.96,Card,C1059,Small Business,NEW20,true,2025-10-03,4
39,2025-07-30,Store-3,Central,Online,P180,Sports,Fitness,Fitness 7,20.11,2,0.05,38.21,25.84,12.37,Wallet,C1177,Corporate,,false,,0
40,2025-07-30,Store-1,Central,Retail,P188,Electronics,Phones,Phones 7,136.76,3,0.15,348.74,239.12,109.62,Cash,C1119,Consumer,,false,,19
41,2025-06-09,Store-2,North,Retail,P109,Home,Decor,Decor 17,193.78,4,0.05,736.36,527.27,209.09,Card,C1019,Small Business,,false,,47
42,2025-08-05,Store-2,Central,Online,P180,Sports,Fitness,Fitness 17,59.52,1,0.05,56.54,37.85,18.69,Cash,C1100,Consumer,WINTER10,false,,31
43,2025-08-25,Store-2,Central,Retail,P153,Electronics,Audio,Audio 12,78.34,1,0.05,74.42,44.69,29.73,Cash,C1101,Consumer,WINTER10,false,,47
44,2025-07-06,Store-2,Central,Online,P149,Home,Decor,Decor 19,19.9,4,0.05,75.62,64.75,10.87,Cash,C1026,Consumer,VIP5,false,,15
45,2025-07-03,Store-2,South,Retail,P198,Electronics,Audio,Audio 12,158.1,4,0,632.4,533.49,98.91,Wallet,C1102,Small Business,,false,,46
46,2025-06-09,Store-1,South,Retail,P178,Home,Decor,Decor 5,130.68,3,0.1,352.84,216.89,135.95,Wallet,C1032,Consumer,NEW20,true,2025-06-15,18
47,2025-07-07,Store-2,South,Retail,P183,Home,Decor,Decor 8,63.66,5,0.1,286.47,182.17,104.3,Wallet,C1041,Consumer,WINTER10,true,2025-07-16,14
48,2025-07-26,Store-2,Central,Retail,P170,Electronics,Audio,Audio 7,52.6,2,0.05,99.94,76.63,23.31,Cash,C1061,Corporate,VIP5,false,,1
49,2025-09-02,Store-2,Central,Retail,P126,Sports,Fitness,Fitness 13,57.7,1,0.1,51.93,35.48,16.45,Cash,C1032,Small Business,,false,,5
50,2025-07-03,Store-1,Central,Retail,P155,Home,Decor,Decor 10,170.49,1,0,170.49,103.94,66.55,Wallet,C1195,Corporate,,true,2025-07-04,4
51,2025-07-19,Store-3,Central,Retail,P113,Electronics,Audio,Audio 8,35.1,5,0,175.5,154.87,20.63,Wallet,C1179,Small Business,NEW20,false,,35
52,2025-09-06,Store-1,North,Online,P172,Electronics,Audio,Audio 2,130.87,3,0,392.61,309.35,83.26,Wallet,C1162,Corporate,,false,,4
53,2025-07-07,Store-3,South,Online,P133,Home,Decor,Decor 8,159.15,1,0,159.15,121.15,38.0,Cash,C1071,Corporate,WINTER10,true,2025-07-16,15
54,2025-08-08,Store-1,North,Retail,P107,Home,Kitchen,Kitchen 1,42.85,4,0,171.4,116.07,55.33,Wallet,C1108,Corporate,WINTER10,true,2025-08-09,44
55,2025-07-12,Store-3,Central,Retail,P125,Home,Decor,Decor 1,160.43,5,0,802.15,530.67,271.48,Card,C1079,Consumer,WINTER10,true,2025-07-16,16
56,2025-09-04,Store-2,North,Retail,P123,Sports,Fitness,Fitness 8,99.59,1,0.15,84.65,54.51,30.14,Cash,C1013,Consumer,,false,,26
57,2025-06-05,Store-3,North,Online,P157,Home,Decor,Decor 11,147.88,1,0,147.88,103.33,44.55,Card,C1167,Small Business,NEW20,false,,19
58,2025-08-23,Store-3,Central,Retail,P156,Home,Kitchen,Kitchen 6,26.25,1,0.05,24.94,15.57,9.37,Cash,C1031,Small Business,WINTER10,true,2025-08-29,49
59,2025-09-12,Store-2,Central,Online,P190,Electronics,Phones,Phones 16,43.16,5,0.1,194.22,127.78,66.44,Cash,C1188,Corporate,,true,2025-09-16,40
60,2025-09-05,Store-2,North,Retail,P159,Electronics,Phones,Phones 3,161.65,1,0.05,153.57,101.12,52.45,Card,C1155,Corporate,VIP5,false,,21
61,2025-08-16,Store-1,Central,Retail,P138,Home,Kitchen,Kitchen 1,145.71,5,0,728.55,442.43,286.12,Card,C1027,Corporate,NEW20,true,2025-08-21,27
62,2025-09-11,Store-2,North,Retail,P101,Electronics,Audio,Audio 10,165.44,2,0.15,281.25,188.67,92.58,Cash,C1117,Corporate,,false,,32
63,2025-06-24,Store-2,North,Online,P108,Home,Decor,Decor 2,98.93,5,0.05,469.92,304.61,165.31,Cash,C1026,Consumer,VIP5,false,,13
64,2025-06-11,Store-2,Central,Retail,P129,Electronics,Audio,Audio 5,86.28,5,0,431.4,355.64,75.76,Wallet,C1194,Consumer,VIP5,false,,17
65,2025-08-10,Store-2,Central,Retail,P125,Home,Kitchen,Kitchen 15,53.25,2,0,106.5,68.8,37.7,Wallet,C1048,Corporate,,true,2025-08-15,15
66,2025-08-02,Store-3,North,Online,P104,Home,Decor,Decor 4,5.88,2,0.1,10.58,9.25,1.33,Card,C1075,Consumer,,false,,12
67,2025-08-14,Store-3,North,Online,P165,Home,Kitchen,Kitchen 6,92.58,3,0,277.74,175.46,102.28,Wallet,C1181,Small Business,VIP5,false,,2
68,2025-07-16,Store-2,North,Online,P132,Electronics,Audio,Audio 2,121.89,2,0,243.78,206.15,37.63,Cash,C1173,Corporate,WINTER10,false,,4
69,2025-06-25,Store-1,Central,Retail,P152,Electronics,Phones,Phones 4,160.19,5,0,800.95,634.16,166.79,Card,C1167,Consumer,NEW20,false,,26
70,2025-07-05,Store-3,Central,Retail,P139,Electronics,Phones,Phones 19,177.32,4,0.1,638.35,386.5,251.85,Cash,C1164,Consumer,NEW20,true,2025-07-09,0
71,2025-07-24,Store-1,Central,Online,P151,Electronics,Phones,Phones 19,177.15,4,0,708.6,452.79,255.81,Card,C1141,Consumer,NEW20,false,,36
72,2025-08-17,Store-2,South,Online,P144,Electronics,Audio,Audio 10,36.55,2,0,73.1,46.25,26.85,Cash,C1192,Consumer,VIP5,false,,2
73,2025-09-23,Store-2,Central,Online,P181,Sports,Fitness,Fitness 13,21.83,5,0,109.15,86.46,22.69,Card,C1158,Corporate,,false,,30
74,2025-06-22,Store-3,North,Online,P166,Home,Decor,Decor 6,79.8,1,0,79.8,53.79,26.01,Wallet,C1049,Consumer,,false,,42
75,2025-09-14,Store-2,North,Retail,P158,Sports,Fitness,Fitness 18,170.56,3,0.1,460.51,318.89,141.62,Card,C1108,Corporate,VIP5,true,2025-09-23,28
76,2025-06-21,Store-1,North,Retail,P130,Home,Decor,Decor 15,153.9,4,0,615.6,519.05,96.55,Cash,C1027,Consumer,WINTER10,false,,27
77,2025-07-15,Store-1,Central,Online,P181,Electronics,Phones,Phones 5,21.04,3,0.15,53.65,33.48,20.17,Wallet,C1096,Small Business,WINTER10,false,,4
78,2025-08-16,Store-3,South,Online,P116,Electronics,Audio,Audio 16,61.14,2,0,122.28,75.77,46.51,Cash,C1156,Corporate,WINTER10,false,,39
79,2025-07-04,Store-2,North,Retail,P161,Sports,Fitness,Fitness 7,120.42,5,0.15,511.79,343.52,168.27,Cash,C1009,Consumer,WINTER10,true,2025-07-07,40
80,2025-09-26,Store-2,South,Retail,P121,Home,Decor,Decor 9,27.44,5,0,137.2,108.51,28.69,Cash,C1115,Small Business,,false,,16
81,2025-08-06,Store-3,Central,Retail,P148,Home,Kitchen,Kitchen 12,117.59,3,0.05,335.13,277.95,57.18,Cash,C1058,Consumer,,false,,18
82,2025-09-11,Store-3,Central,Retail,P184,Sports,Fitness,Fitness 11,147.94,1,0,147.94,95.39,52.55,Wallet,C1160,Corporate,NEW20,false,,3
83,2025-06-15,Store-2,North,Online,P106,Electronics,Phones,Phones 1,115.59,3,0,346.77,262.48,84.29,Wallet,C1057,Corporate,,false,,37
84,2025-06-16,Store-1,Central,Retail,P117,Electronics,Audio,Audio 1,187.64,2,0,375.28,275.93,99.35,Card,C1163,Consumer,VIP5,true,2025-06-21,0
85,2025-06-06,Store-3,South,Retail,P182,Sports,Fitness,Fitness 19,91.53,5,0.1,411.88,277.83,134.05,Card,C1011,Consumer,,false,,25
86,2025-06-22,Store-1,North,Online,P101,Electronics,Phones,Phones 20,112.43,2,0,224.86,162.79,62.07,Wallet,C1155,Small Business,,true,2025-07-02,11
87,2025-08-03,Store-2,North,Retail,P192,Electronics,Phones,Phones 16,144.5,1,0.1,130.05,110.98,19.07,Wallet,C1119,Consumer,NEW20,false,,14
88,2025-06-12,Store-2,North,Online,P142,Electronics,Phones,Phones 9,143.78,3,0.15,366.64,294.69,71.95,Wallet,C1133,Corporate,VIP5,false,,5
89,2025-09-19,Store-3,North,Online,P130,Home,Kitchen,Kitchen 7,189.22,3,0,567.66,490.49,77.17,Cash,C1153,Consumer,NEW20,true,2025-09-27,33
90,2025-08-27,Store-1,North,Retail,P173,Electronics,Audio,Audio 10,158.89,4,0.15,540.23,419.0,121.23,Wallet,C1043,Consumer,,false,,7
91,2025-06-12,Store-3,North,Retail,P189,Electronics,Audio,Audio 1,11.02,2,0,22.04,17.83,4.21,Wallet,C1011,Consumer,,false,,12
92,2025-09-11,Store-3,South,Online,P113,Home,Decor,Decor 8,45.12,1,0,45.12,27.54,17.58,Wallet,C1022,Small Business,VIP5,true,2025-09-13,8
93,2025-06-11,Store-3,North,Retail,P143,Home,Kitchen,Kitchen 14,55.93,3,0.05,159.4,140.12,19.28,Card,C1183,Corporate,VIP5,true,2025-06-16,39
94,2025-09-02,Store-1,Central,Online,P166,Home,Decor,Decor 4,72.62,1,0.15,61.73,47.52,14.21,Wallet,C1023,Small Business,VIP5,false,,27
95,2025-05-30,Store-3,North,Retail,P100,Electronics,Phones,Phones 12,100.71,4,0,402.84,358.59,44.25,Wallet,C1088,Small Business,VIP5,false,,18
96,2025-09-11,Store-1,South,Online,P121,Home,Decor,Decor 4,188.05,1,0.1,169.25,141.56,27.69,Wallet,C1143,Consumer,VIP5,false,,6
97,2025-07-20,Store-2,South,Online,P182,Home,Decor,Decor 1,77.53,3,0.05,220.96,160.95,60.01,Wallet,C1128,Consumer,NEW20,false,,29
98,2025-06-15,Store-3,South,Online,P174,Home,Kitchen,Kitchen 11,106.74,4,0.15,362.92,298.54,64.38,Card,C1118,Corporate,VIP5,false,,8
99,2025-07-11,Store-2,South,Online,P124,Sports,Fitness,Fitness 9,63.79,5,0,318.95,260.58,58.37,Card,C1185,Corporate,,false,,10
100,2025-06-29,Store-2,North,Retail,P121,Electronics,Phones,Phones 4,43.11,2,0,86.22,72.29,13.93,Wallet,C1076,Corporate,VIP5,false,,6
101,2025-08-19,Store-1,Central,Online,P159,Home,Decor,Decor 2,7.46,4,0,29.84,22.38,7.46,Wallet,C1075,Corporate,,false,,16
102,2025-08-15,Store-3,Central,Online,P155,Electronics,Audio,Audio 19,119.55,4,0,478.2,382.74,95.46,Wallet,C1198,Small Business,,false,,43
103,2025-06-22,Store-3,North,Retail,P140,Home,Decor,Decor 9,127.51,1,0.1,114.76,77.2,37.56,Cash,C1182,Small Business,WINTER10,false,,27
104,2025-07-30,Store-2,North,Retail,P186,Sports,Fitness,Fitness 6,179.43,3,0,538.29,385.75,152.54,Cash,C1027,Consumer,VIP5,false,,10
105,2025-08-29,Store-1,South,Retail,P173,Electronics,Phones,Phones 15,110.5,4,0.15,375.7,227.24,148.46,Cash,C1133,Corporate,NEW20,true,2025-09-02,43
106,2025-06-22,Store-2,South,Online,P145,Sports,Fitness,Fitness 2,54.23,4,0.1,195.23,120.74,74.49,Card,C1107,Corporate,VIP5,false,,6
107,2025-06-27,Store-2,South,Retail,P128,Sports,Fitness,Fitness 13,95.11,2,0,190.22,167.17,23.05,Card,C1162,Consumer,NEW20,false,,9
108,2025-07-14,Store-3,South,Retail,P137,Home,Decor,Decor 18,131.67,4,0.05,500.35,417.83,82.52,Card,C1068,Small Business,NEW20,false,,27
109,2025-08-24,Store-1,Central,Online,P145,Home,Kitchen,Kitchen 8,132.61,3,0.1,358.05,266.92,91.13,Wallet,C1163,Consumer,VIP5,false,,19
110,2025-09-16,Store-2,North,Online,P141,Sports,Fitness,Fitness 5,108.48,3,0.15,276.62,167.22,109.4,Card,C1053,Consumer,VIP5,false,,38
111,2025-06-11,Store-3,North,Online,P199,Electronics,Audio,Audio 15,72.56,2,0,145.12,126.43,18.69,Wallet,C1042,Small Business,,false,,42
112,2025-09-22,Store-3,South,Retail,P163,Electronics,Audio,Audio 7,108.51,4,0,434.04,332.7,101.34,Cash,C1107,Consumer,WINTER10,true,2025-09-30,35
113,2025-06-06,Store-2,Central,Online,P131,Home,Decor,Decor 16,37.1,5,0,185.5,120.22,65.28,Cash,C1119,Small Business,,true,2025-06-11,29
114,2025-07-16,Store-2,Central,Online,P181,Electronics,Audio,Audio 12,129.04,1,0,129.04,101.03,28.01,Wallet,C1188,Corporate,,true,2025-07-24,48
115,2025-09-21,Store-1,North,Online,P180,Home,Decor,Decor 5,71.03,3,0.05,202.44,150.28,52.16,Wallet,C1141,Consumer,VIP5,true,2025-09-27,27
116,2025-07-01,Store-3,North,Retail,P145,Home,Kitchen,Kitchen 16,83.73,5,0.05,397.72,342.79,54.93,Cash,C1052,Small Business,NEW20,false,,21
117,2025-06-23,Store-2,South,Retail,P175,Electronics,Audio,Audio 3,157.92,1,0.1,142.13,116.09,26.04,Cash,C1139,Small Business,,true,2025-06-28,6
118,2025-05-30,Store-1,North,Retail,P198,Sports,Fitness,Fitness 2,158.86,5,0.15,675.16,481.26,193.9,Card,C1160,Small Business,,false,,13
119,2025-06-04,Store-3,South,Retail,P112,Electronics,Audio,Audio 6,174.5,4,0,698.0,610.21,87.79,Wallet,C1003,Corporate,WINTER10,false,,35
120,2025-08-28,Store-2,Central,Online,P104,Home,Decor,Decor 11,8.98,5,0.15,38.17,33.6,4.57,Card,C1127,Small Business,,false,,7
121,2025-09-06,Store-2,South,Retail,P108,Home,Decor,Decor 1,137.59,5,0.15,584.76,525.08,59.68,Wallet,C1039,Corporate,NEW20,false,,5
122,2025-08-20,Store-2,North,Online,P154,Electronics,Phones,Phones 1,6.82,1,0,6.82,4.54,2.28,Card,C1033,Corporate,,false,,46
123,2025-08-10,Store-1,Central,Online,P146,Electronics,Phones,Phones 5,147.3,1,0.05,139.94,110.35,29.59,Wallet,C1127,Corporate,VIP5,false,,45
124,2025-06-03,Store-1,North,Online,P110,Sports,Fitness,Fitness 13,65.66,5,0,328.3,291.3,37.0,Cash,C1155,Consumer,VIP5,false,,36
125,2025-08-31,Store-2,Central,Online,P114,Electronics,Audio,Audio 12,191.01,2,0.1,343.82,255.49,88.33,Cash,C1069,Small Business,VIP5,false,,17
126,2025-06-06,Store-3,South,Retail,P192,Sports,Fitness,Fitness 1,167.1,5,0.05,793.72,615.45,178.27,Card,C1096,Corporate,NEW20,false,,28
127,2025-07-05,Store-3,North,Retail,P134,Home,Kitchen,Kitchen 14,35.67,1,0.05,33.89,28.81,5.08,Wallet,C1037,Corporate,,true,2025-07-11,34
128,2025-06-09,Store-3,South,Retail,P125,Home,Decor,Decor 8,65.35,1,0.1,58.81,43.5,15.31,Card,C1065,Small Business,,true,2025-06-17,34
129,2025-06-10,Store-3,Central,Online,P150,Electronics,Audio,Audio 19,106.6,3,0.15,271.83,189.27,82.56,Wallet,C1150,Consumer,WINTER10,false,,12
130,2025-06-10,Store-1,South,Retail,P173,Home,Kitchen,Kitchen 19,74.98,5,0,374.9,252.64,122.26,Cash,C1095,Consumer,VIP5,true,2025-06-12,9
131,2025-07-09,Store-3,North,Retail,P166,Home,Kitchen,Kitchen 20,9.01,1,0,9.01,8.08,0.93,Wallet,C1124,Small Business,,false,,16
132,2025-09-25,Store-2,Central,Online,P198,Home,Decor,Decor 19,164.67,2,0.05,312.87,266.92,45.95,Cash,C1051,Consumer,NEW20,false,,1
133,2025-06-05,Store-1,South,Retail,P162,Home,Decor,Decor 3,173.28,4,0,693.12,562.75,130.37,Card,C1065,Corporate,,false,,41
134,2025-06-10,Store-3,South,Retail,P157,Electronics,Audio,Audio 6,77.33,2,0,154.66,100.78,53.88,Cash,C1090,Consumer,,false,,3
135,2025-07-02,Store-3,South,Retail,P112,Electronics,Phones,Phones 5,66.95,1,0,66.95,53.77,13.18,Cash,C1150,Small Business,NEW20,false,,30
136,2025-07-10,Store-2,Central,Retail,P147,Electronics,Phones,Phones 16,79.03,4,0,316.12,266.26,49.86,Wallet,C1003,Corporate,WINTER10,false,,10
137,2025-09-25,Store-1,North,Retail,P199,Electronics,Audio,Audio 15,191.8,4,0,767.2,604.95,162.25,Cash,C1086,Corporate,WINTER10,true,2025-09-27,40
138,2025-07-15,Store-1,Central,Online,P123,Electronics,Phones,Phones 15,112.91,2,0.1,203.24,175.03,28.21,Cash,C1107,Corporate,WINTER10,false,,1
139,2025-07-03,Store-3,Central,Retail,P133,Electronics,Audio,Audio 16,26.3,4,0.1,94.68,60.05,34.63,Wallet,C1014,Small Business,WINTER10,true,2025-07-08,7
140,2025-07-01,Store-1,Central,Retail,P130,Home,Kitchen,Kitchen 8,24.03,3,0.1,64.88,56.37,8.51,Card,C1185,Corporate,WINTER10,false,,28
141,2025-09-10,Store-3,Central,Online,P100,Home,Decor,Decor 17,60.85,3,0.1,164.3,100.58,63.72,Cash,C1055,Corporate,,false,,8
142,2025-09-14,Store-1,South,Online,P125,Electronics,Audio,Audio 20,20.46,1,0.15,17.39,14.25,3.14,Cash,C1044,Consumer,WINTER10,false,,37
143,2025-07-08,Store-1,North,Online,P152,Sports,Fitness,Fitness 2,106.1,3,0.05,302.38,206.99,95.39,Wallet,C1126,Consumer,,true,2025-07-16,8
144,2025-09-18,Store-3,Central,Online,P172,Electronics,Audio,Audio 12,12.15,3,0.15,30.98,24.12,6.86,Card,C1091,Small Business,NEW20,false,,7
145,2025-07-14,Store-3,North,Retail,P173,Home,Decor,Decor 2,61.85,1,0.1,55.66,40.85,14.81,Card,C1135,Small Business,WINTER10,false,,15
146,2025-06-10,Store-1,South,Online,P113,Electronics,Audio,Audio 10,53.84,1,0,53.84,33.86,19.98,Wallet,C1189,Consumer,VIP5,false,,38
147,2025-08-19,Store-3,Central,Online,P113,Home,Decor,Decor 12,174.56,2,0,349.12,238.07,111.05,Cash,C1126,Small Business,,false,,7
148,2025-06-14,Store-1,Central,Online,P175,Sports,Fitness,Fitness 8,172.91,2,0.15,293.95,217.12,76.83,Cash,C1042,Consumer,NEW20,true,2025-06-24,38
149,2025-08-05,Store-1,Central,Online,P143,Home,Kitchen,Kitchen 13,51.87,3,0.1,140.05,119.45,20.6,Wallet,C1082,Corporate,,false,,20
150,2025-08-04,Store-1,South,Retail,P154,Electronics,Audio,Audio 1,76.06,5,0,380.3,236.08,144.22,Cash,C1051,Small Business,,false,,8
151,2025-07-22,Store-2,Central,Online,P104,Electronics,Phones,Phones 20,56.83,5,0.05,269.94,212.84,57.1,Card,C1159,Consumer,VIP5,false,,33
152,2025-05-31,Store-2,North,Online,P114,Home,Kitchen,Kitchen 10,72.77,2,0,145.54,89.96,55.58,Wallet,C1068,Consumer,NEW20,false,,28
153,2025-06-14,Store-3,North,Retail,P173,Home,Decor,Decor 10,58.45,1,0.15,49.68,34.09,15.59,Cash,C1156,Small Business,,false,,41
154,2025-07-18,Store-1,South,Retail,P170,Home,Decor,Decor 10,124.5,4,0.05,473.1,288.25,184.85,Cash,C1056,Consumer,,true,2025-07-28,25
155,2025-05-31,Store-2,North,Online,P171,Home,Kitchen,Kitchen 11,100.82,3,0,302.46,208.29,94.17,Card,C1040,Small Business,,false,,28
156,2025-08-22,Store-1,South,Retail,P145,Home,Decor,Decor 4,106.58,2,0.1,191.84,134.5,57.34,Cash,C1035,Small Business,WINTER10,false,,33
157,2025-06-11,Store-3,South,Retail,P180,Home,Kitchen,Kitchen 5,85.54,1,0,85.54,61.86,23.68,Wallet,C1149,Consumer,NEW20,true,2025-06-21,9
158,2025-07-22,Store-2,South,Online,P157,Home,Decor,Decor 15,61.17,3,0.05,174.33,123.06,51.27,Wallet,C1142,Small Business,NEW20,false,,0
159,2025-09-07,Store-3,Central,Retail,P138,Home,Decor,Decor 6,109.69,2,0.1,197.44,152.55,44.89,Wallet,C1059,Consumer,VIP5,false,,38
160,2025-09-14,Store-1,Central,Online,P101,Home,Decor,Decor 1,14.25,5,0.1,64.12,44.24,19.88,Wallet,C1198,Corporate,,true,2025-09-23,33
161,2025-08-31,Store-3,Central,Retail,P145,Home,Decor,Decor 2,120.97,3,0.1,326.62,288.85,37.77,Wallet,C1017,Small Business,WINTER10,false,,26
162,2025-07-16,Store-3,Central,Online,P153,Electronics,Audio,Audio 16,83.32,5,0.15,354.11,248.93,105.18,Wallet,C1191,Consumer,WINTER10,false,,20
163,2025-07-15,Store-1,Central,Online,P183,Electronics,Phones,Phones 10,139.53,5,0.1,627.88,495.6,132.28,Wallet,C1074,Small Business,WINTER10,false,,26
164,2025-06-22,Store-1,South,Online,P172,Home,Kitchen,Kitchen 2,139.89,1,0,139.89,96.81,43.08,Wallet,C1141,Consumer,VIP5,true,2025-06-24,37
165,2025-05-31,Store-3,North,Online,P163,Electronics,Audio,Audio 18,115.57,5,0.15,491.17,441.63,49.54,Wallet,C1050,Corporate,,false,,9
166,2025-06-19,Store-3,South,Online,P112,Electronics,Phones,Phones 3,38.25,5,0.1,172.12,145.78,26.34,Wallet,C1110,Consumer,,false,,9
167,2025-08-29,Store-1,Central,Retail,P104,Electronics,Audio,Audio 9,127.6,5,0,638.0,449.58,188.42,Cash,C1159,Corporate,,false,,14
